Year,StateAbbr,StateDesc,CountyName,CountyFIPS,LocationName,DataSource,Category,Measure,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,TotalPopulation,TotalPop18plus,Geolocation,LocationID,CategoryID,MeasureId,DataValueTypeID,Short_Question_Text
2022,CA,California,Orange,06059,06059063010,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Crude prevalence,13.1,NA,NA,11.3,15,6698,5354,POINT (-117.8983938 33.6281163),06059063010,RISKBEH,LPA,CrdPrv,Physical Inactivity
2022,CA,California,Riverside,06065,06065042509,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Crude prevalence,33.6,NA,NA,30,37.4,3460,2491,POINT (-117.2306582 33.9100514),06065042509,RISKBEH,LPA,CrdPrv,Physical Inactivity
2022,CA,California,Riverside,06065,06065042519,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Crude prevalence,40.2,NA,NA,36.3,44.2,1887,1297,POINT (-117.2274689 33.9373528),06065042519,RISKBEH,LPA,CrdPrv,Physical Inactivity
2022,CA,California,Sacramento,06067,06067007701,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Crude prevalence,26.6,NA,NA,23.4,29.9,7420,5680,POINT (-121.3373165 38.6172556),06067007701,RISKBEH,LPA,CrdPrv,Physical Inactivity
2022,CA,California,San Diego,06073,06073003304,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Crude prevalence,32.9,NA,NA,29.6,36.3,3601,2534,POINT (-117.0903055 32.7067337),06073003304,RISKBEH,LPA,CrdPrv,Physical Inactivity
2022,CA,California,San Diego,06073,06073008346,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Crude prevalence,12.9,NA,NA,11.2,14.7,4831,4017,POINT (-117.1878012 32.9125345),06073008346,RISKBEH,LPA,CrdPrv,Physical Inactivity
2022,CA,California,San Diego,06073,06073016403,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Crude prevalence,18.7,NA,NA,16.4,21.1,4778,3684,POINT (-116.9080679 32.809448),06073016403,RISKBEH,LPA,CrdPrv,Physical Inactivity
2022,CA,California,San Diego,06073,06073016617,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Crude prevalence,22.1,NA,NA,19.5,24.8,3550,2900,POINT (-116.9721871 32.8351887),06073016617,RISKBEH,LPA,CrdPrv,Physical Inactivity
2022,CA,California,San Mateo,06081,06081602300,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Crude prevalence,20.9,NA,NA,17.7,24.3,4238,3396,POINT (-122.3991663 37.6516231),06081602300,RISKBEH,LPA,CrdPrv,Physical Inactivity
2022,CA,California,Alameda,06001,06001436700,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Crude prevalence,22.3,NA,NA,19.3,25.5,3689,2858,POINT (-122.1005195 37.6619708),06001436700,RISKBEH,LPA,CrdPrv,Physical Inactivity
2022,CA,California,Alameda,06001,06001423800,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Crude prevalence,11.6,NA,NA,9.9,13.6,3216,2697,POINT (-122.2441397 37.8547209),06001423800,RISKBEH,LPA,CrdPrv,Physical Inactivity
2022,CA,California,Alameda,06001,06001425104,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Crude prevalence,17.1,NA,NA,14.8,19.7,4374,3768,POINT (-122.2833245 37.8326584),06001425104,RISKBEH,LPA,CrdPrv,Physical Inactivity
2022,CA,California,Alameda,06001,06001406201,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Crude prevalence,31.2,NA,NA,27.7,34.9,5019,3767,POINT (-122.2307359 37.7850449),06001406201,RISKBEH,LPA,CrdPrv,Physical Inactivity
2022,CA,California,Alameda,06001,06001421800,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Crude prevalence,12.8,NA,NA,10.9,14.8,2110,1739,POINT (-122.2782006 37.8802854),06001421800,RISKBEH,LPA,CrdPrv,Physical Inactivity
2022,CA,California,Alameda,06001,06001440306,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Crude prevalence,20.6,NA,NA,17.8,23.5,4020,3147,POINT (-122.0683439 37.5849957),06001440306,RISKBEH,LPA,CrdPrv,Physical Inactivity
2022,CA,California,Alameda,06001,06001433600,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Crude prevalence,22.7,NA,NA,19.9,25.9,6307,5087,POINT (-122.1437723 37.6860856),06001433600,RISKBEH,LPA,CrdPrv,Physical Inactivity
2022,CA,California,Alameda,06001,06001438000,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Crude prevalence,19,NA,NA,16.4,21.8,3409,2737,POINT (-122.0284675 37.6190827),06001438000,RISKBEH,LPA,CrdPrv,Physical Inactivity
